"845,256","862,029","886,427","899,002","897,329","909,012","933,841","955,066","964,239","978,427","1,017,150","1,041,058","1,071,643","1,122,447","1,169,097","1,202,947","1,224,803","1,243,071","1,261,600","1,289,291","1,324,926","1,376,616","1,444,187","1,517,874","1,600,217","1,686,760","1,772,028","1,852,866","1,927,566","1,994,986","2,021,714","2,066,185","2,111,226","2,126,067","2,111,389","2,090,711","2,074,866","2,103,395","2,173,953","2,270,251","2,365,862","2,424,947","2,498,737","2,567,149","2,680,863","2,867,873","3,084,656","3,292,227","3,519,749","3,717,308","3,885,145","4,054,485","4,179,603","4,252,572","4,274,677","4,255,812","4,204,814","4,147,568","4,130,624","4,160,200","4,210,652","4,272,548","4,331,667","4,350,740","4,307,277","4,211,785","4,087,798","3,953,701","3,836,661","3,781,149","3,799,074","3,859,240","3,917,214","3,930,407","3,866,281","3,728,084","3,553,422","3,390,647","3,270,649","3,207,774","3,203,209","3,246,332","3,317,172","3,396,329","3,461,817","3,497,795","3,494,103","3,450,338","3,377,762","3,292,256","3,203,341","3,110,400","2,957,056","2,791,713","2,645,771","2,479,080","2,322,029","2,267,434","2,275,181","2,247,773","2,248,223"
"628,974","630,604","640,591","677,339","726,011","756,811","778,738","802,670","821,228","830,540","846,448","874,484","872,562","874,616","890,487","919,381","951,865","993,395","1,047,164","1,097,369","1,130,835","1,144,240","1,159,080","1,181,647","1,215,411","1,258,578","1,306,470","1,369,732","1,441,506","1,516,598","1,589,504","1,674,389","1,749,203","1,820,265","1,881,895","1,927,926","1,961,234","2,011,322","2,029,040","2,016,474","2,006,389","2,009,135","2,039,711","2,104,791","2,190,885","2,269,552","2,347,626","2,419,786","2,505,826","2,618,657","2,791,172","3,010,845","3,237,368","3,465,651","3,674,546","3,857,441","4,018,497","4,144,601","4,218,986","4,242,934","4,226,171","4,177,551","4,122,816","4,108,007","4,139,595","4,191,937","4,255,572","4,316,178","4,336,951","4,295,318","4,201,665","4,079,445","3,947,206","3,831,763","3,777,812","3,797,176","3,858,623","3,917,773","3,932,109","3,868,925","3,731,545","3,557,667","3,395,651","3,276,344","3,214,110","3,210,296","3,254,311","3,326,111","3,406,244","3,472,697","3,509,590","3,506,600","3,463,420","3,391,298","3,306,115","3,217,463","3,124,747","2,971,189","2,805,541","2,659,312","2,492,148"
"518,465","535,842","538,118","525,579","521,670","530,387","539,542","552,756","586,162","634,557","658,773","684,845","689,332","698,262","698,520","709,170","744,604","773,967","793,066","811,766","835,876","860,174","893,176","935,774","977,601","1,010,305","1,035,168","1,055,954","1,079,622","1,111,801","1,156,731","1,205,934","1,267,444","1,332,971","1,404,302","1,488,523","1,587,609","1,659,101","1,724,288","1,779,701","1,817,056","1,859,732","1,909,715","1,935,661","1,934,213","1,926,512","1,932,083","1,959,949","2,027,647","2,114,010","2,201,981","2,280,657","2,353,414","2,434,277","2,558,011","2,740,743","2,955,507","3,180,077","3,406,693","3,614,636","3,797,334","3,958,904","4,086,134","4,161,958","4,188,172","4,174,305","4,129,055","4,077,660","4,065,961","4,100,199","4,154,823","4,220,315","4,282,832","4,305,469","4,266,233","4,175,249","4,055,720","3,926,185","3,813,396","3,761,706","3,782,854","3,845,870","3,906,404","3,921,955","3,859,968","3,724,060","3,551,791","3,391,329","3,273,456","3,212,516","3,209,899","3,254,969","3,327,858","3,409,061","3,476,498","3,514,382","3,512,353","3,469,922","3,398,533","3,313,978","3,225,827"
"345,675","344,564","360,707","386,169","390,534","403,947","425,836","434,477","428,329","428,822","428,725","467,031","455,436","476,567","511,455","538,406","557,018","577,862","596,346","608,411","623,957","640,668","658,652","674,263","690,739","712,208","739,370","774,362","816,658","866,053","900,851","919,104","938,875","965,304","1,002,718","1,048,214","1,100,172","1,164,709","1,229,902","1,298,093","1,381,212","1,465,719","1,533,176","1,594,318","1,642,588","1,682,510","1,738,617","1,801,603","1,846,385","1,854,949","1,846,544","1,846,259","1,873,558","1,934,701","2,026,187","2,121,186","2,201,574","2,274,215","2,355,185","2,478,129","2,658,332","2,869,650","3,090,731","3,313,666","3,519,018","3,700,474","3,861,747","3,989,423","4,067,026","4,096,002","4,085,761","4,044,697","3,998,045","3,990,041","4,027,335","4,084,601","4,152,214","4,216,523","4,241,581","4,205,568","4,118,318","4,002,888","3,877,546","3,768,700","3,719,992","3,743,503","3,808,289","3,870,249","3,887,298","3,827,395","3,694,148","3,524,788","3,367,292","3,251,982","3,193,051","3,192,098","3,238,552","3,312,434","3,394,553","3,462,896","3,501,650"
"210,394","224,438","227,011","223,091","235,616","245,292","260,200","257,088","268,120","278,900","311,808","321,793","318,364","316,993","310,619","335,061","345,540","357,675","378,315","405,381","425,995","441,394","459,713","475,169","489,218","506,353","517,741","535,655","553,867","570,640","598,852","619,032","649,470","690,656","733,184","766,793","788,665","813,599","842,637","881,165","922,213","968,119","1,032,474","1,099,247","1,168,737","1,246,224","1,319,976","1,381,293","1,439,103","1,497,413","1,558,024","1,621,758","1,684,737","1,723,652","1,729,106","1,721,079","1,725,354","1,754,043","1,814,679","1,903,223","1,994,716","2,072,990","2,144,708","2,224,667","2,345,066","2,519,936","2,724,186","2,937,829","3,153,663","3,353,234","3,530,678","3,689,208","3,816,307","3,894,610","3,926,473","3,920,911","3,885,983","3,845,752","3,843,214","3,884,617","3,945,081","4,015,036","4,081,061","4,108,772","4,076,716","3,995,418","3,886,864","3,768,648","3,666,810","3,623,752","3,650,680","3,717,250","3,780,568","3,799,200","3,742,280","3,614,070","3,450,900","3,299,190","3,188,878","3,133,534","3,134,779"
"111,199","116,485","126,531","134,787","143,397","151,950","157,264","150,598","145,121","145,016","149,850","162,497","164,326","172,242","181,623","205,140","215,892","223,076","223,042","221,813","227,859","235,639","254,134","270,403","288,285","308,108","317,362","328,409","341,072","353,200","393,129","411,385","425,260","432,880","441,816","459,426","484,221","509,498","540,375","576,492","608,084","631,895","657,383","683,904","718,707","761,684","814,654","877,306","945,391","1,016,771","1,087,310","1,147,237","1,201,931","1,257,102","1,314,319","1,371,183","1,431,032","1,488,969","1,525,609","1,532,294","1,527,129","1,534,245","1,564,425","1,622,936","1,705,814","1,790,553","1,863,955","1,932,676","2,010,037","2,124,943","2,289,334","2,479,754","2,679,403","2,880,565","3,067,862","3,236,118","3,388,011","3,510,501","3,587,833","3,622,394","3,622,876","3,596,790","3,566,105","3,571,079","3,616,219","3,679,775","3,751,369","3,818,190","3,849,090","3,824,184","3,752,571","3,655,025","3,549,046","3,458,537","3,423,872","3,455,687","3,524,509","3,588,433","3,608,880","3,556,948","3,437,226"
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"310,114","327,811","351,850","380,112","411,028","435,722","457,856","481,135","509,620","546,399","590,174","638,874","693,903","750,583","805,837","859,318","908,083","952,568","998,071","1,045,826","1,093,911","1,144,626","1,193,963","1,225,602","1,232,950","1,230,879","1,240,613","1,271,111","1,324,808","1,397,002","1,469,492","1,532,983","1,594,860","1,664,855","1,767,465","1,911,540","2,077,149","2,249,646","2,423,749","2,587,305","2,736,475","2,872,763","2,983,829","3,056,062","3,090,117","3,096,840","3,082,070","3,064,664","3,078,866","3,129,015","3,194,130","3,264,294","3,328,987","3,361,245","3,344,831","3,288,156","3,209,328","3,123,076","3,051,749","3,030,441","3,067,420"
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"128,397","135,964","143,953","152,446","161,444","171,037","187,750","208,039","229,707","252,006","272,082","291,064","311,458","333,959","359,164","387,911","421,146","458,440","496,577","533,459","569,139","602,092","632,877","664,737","698,945","733,656","770,534","806,595","830,353","836,709","837,072","847,398","874,689","917,830","971,697","1,024,388","1,071,795","1,119,394","1,174,765","1,255,283","1,365,332","1,489,894","1,619,012","1,749,127","1,871,593","1,986,313","2,092,784","2,181,320","2,239,244","2,270,319","2,281,857","2,278,968","2,275,663","2,296,565","2,345,115","2,404,939","2,467,376","2,522,795","2,553,407","2,546,422","2,508,453"
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,139","40,348","43,874","47,787","52,130","56,982","57,347","61,580","65,350","71,319","80,350","90,595","101,701","113,127","124,041","133,620","142,805","153,003","164,442","177,411","192,182","209,175","228,345","247,697","266,246","284,221","301,146","317,417","334,772","353,470","372,839","393,223","413,234","426,303","429,547","430,441","438,756","457,006","483,650","514,757","543,796","570,792","599,372","633,457","682,044","747,294","819,448","894,175","968,503","1,040,530","1,109,410","1,174,082","1,228,097","1,263,449","1,283,392","1,294,254","1,298,576","1,304,000","1,325,127","1,362,007","1,404,864"
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,007","15,224","15,036","15,169","16,024","18,064","20,001","21,862","23,887","26,498","29,823","33,430","37,031","40,451","43,437","46,372","49,749","53,603","58,023","62,983","68,793","75,286","81,837","87,978","93,965","99,634","105,252","111,399","117,817","124,694","132,229","139,274","143,705","144,671","145,100","149,054","157,182","168,067","179,556","190,002","199,817","211,279","224,850","244,511","270,131","297,733","326,269","354,491","381,695","408,682","434,276","455,647","469,356","477,455","482,869"
